# dataset for example sheet 2 problem 1
#
# 100 Quasars
# x_i = log Bolometric/Eddington Luminosity
# s_x = sigma_x, std.dev uncertainty on x_i
# y_i = X-ray spectral slope
# s_y = sigma_y, std.dev uncertainty on y_i
#
# x_i    s_x     y_i     s_y
# ----------------------------
-0.880 	 0.475 	 2.734 	 0.147 
-0.039 	 0.812 	 3.420 	 0.203 
-1.605 	 0.460 	 2.688 	 0.251 
-0.934 	 0.141 	 1.002 	 0.276 
-0.030 	 0.281 	 2.062 	 0.463 
-1.820 	 0.139 	 0.591 	 0.543 
-0.550 	 0.675 	 -0.243 	 0.126 
-1.451 	 0.327 	 1.074 	 0.139 
-0.826 	 0.478 	 1.635 	 0.107 
1.188 	 0.255 	 4.090 	 0.197 
0.943 	 0.896 	 3.196 	 0.113 
-0.717 	 0.407 	 4.123 	 0.334 
-0.281 	 0.285 	 2.840 	 0.222 
-2.554 	 0.816 	 2.043 	 0.560 
-1.948 	 0.122 	 0.925 	 0.458 
-1.176 	 0.136 	 1.378 	 0.344 
-0.265 	 0.577 	 2.540 	 0.139 
0.888 	 0.940 	 3.240 	 0.365 
0.305 	 0.642 	 3.883 	 0.433 
0.015 	 0.641 	 2.697 	 0.404 
0.863 	 0.679 	 3.526 	 0.310 
0.033 	 0.930 	 2.401 	 0.155 
-0.747 	 0.297 	 2.682 	 0.508 
-0.889 	 0.896 	 0.886 	 0.225 
-0.555 	 0.144 	 2.333 	 0.355 
-1.602 	 0.831 	 3.323 	 0.502 
-1.422 	 0.129 	 0.999 	 0.355 
-0.100 	 0.474 	 2.148 	 0.251 
-1.505 	 0.635 	 2.436 	 0.531 
-0.635 	 0.277 	 2.493 	 0.129 
-1.260 	 0.816 	 2.125 	 0.465 
-0.253 	 0.290 	 2.769 	 0.550 
-1.213 	 0.257 	 1.408 	 0.332 
-1.548 	 0.652 	 1.530 	 0.335 
-0.785 	 0.947 	 1.340 	 0.177 
-1.123 	 0.695 	 2.998 	 0.581 
-0.914 	 0.293 	 1.516 	 0.538 
0.007 	 0.922 	 2.135 	 0.344 
-1.759 	 0.442 	 1.402 	 0.304 
-0.603 	 0.131 	 2.139 	 0.163 
-1.678 	 0.305 	 2.007 	 0.563 
-0.855 	 0.916 	 2.306 	 0.103 
0.755 	 0.882 	 2.337 	 0.193 
-0.871 	 0.624 	 1.623 	 0.262 
-1.461 	 0.605 	 1.821 	 0.125 
-0.532 	 0.101 	 2.033 	 0.172 
-0.401 	 0.214 	 2.100 	 0.465 
-1.212 	 0.293 	 1.796 	 0.341 
0.072 	 0.844 	 3.095 	 0.269 
-0.172 	 0.449 	 1.131 	 0.218 
-0.302 	 0.386 	 2.670 	 0.325 
-0.152 	 0.336 	 1.817 	 0.193 
-1.962 	 0.367 	 1.181 	 0.262 
-1.530 	 0.485 	 1.523 	 0.232 
-0.652 	 0.273 	 3.778 	 0.515 
-1.279 	 0.611 	 2.537 	 0.448 
-1.050 	 0.692 	 1.387 	 0.267 
-0.251 	 0.717 	 2.270 	 0.390 
-1.125 	 0.418 	 2.048 	 0.244 
-1.891 	 0.961 	 0.936 	 0.232 
-0.933 	 0.319 	 3.103 	 0.230 
-2.231 	 0.773 	 1.847 	 0.439 
-0.286 	 0.451 	 1.973 	 0.360 
-1.601 	 0.860 	 2.401 	 0.138 
-1.835 	 0.435 	 1.601 	 0.128 
-0.977 	 0.737 	 1.710 	 0.229 
-0.752 	 0.411 	 2.698 	 0.320 
-2.884 	 0.889 	 1.211 	 0.242 
-1.637 	 0.775 	 0.838 	 0.439 
-0.903 	 0.491 	 2.598 	 0.575 
-2.051 	 0.461 	 2.537 	 0.487 
-0.894 	 0.436 	 1.406 	 0.418 
-1.965 	 0.499 	 0.916 	 0.477 
-0.871 	 0.442 	 2.459 	 0.473 
-0.730 	 0.165 	 1.661 	 0.393 
-0.684 	 0.496 	 1.918 	 0.487 
-1.002 	 0.646 	 1.397 	 0.296 
-1.230 	 0.374 	 2.003 	 0.403 
-0.734 	 0.466 	 1.799 	 0.224 
-0.642 	 0.191 	 2.323 	 0.245 
-1.509 	 0.529 	 2.509 	 0.110 
-0.872 	 0.363 	 2.774 	 0.274 
0.101 	 0.115 	 2.628 	 0.171 
-2.269 	 0.896 	 0.733 	 0.306 
-1.299 	 0.289 	 2.037 	 0.177 
-1.667 	 0.715 	 2.096 	 0.515 
-0.945 	 0.239 	 2.784 	 0.470 
-1.084 	 0.977 	 2.791 	 0.149 
-0.806 	 0.552 	 2.640 	 0.510 
-1.618 	 0.902 	 1.817 	 0.214 
0.155 	 0.754 	 2.994 	 0.153 
-0.938 	 0.547 	 2.869 	 0.431 
-0.261 	 0.646 	 2.220 	 0.577 
-1.044 	 0.414 	 2.114 	 0.507 
-1.794 	 0.574 	 2.432 	 0.412 
0.153 	 0.817 	 3.306 	 0.264 
-0.668 	 0.346 	 2.362 	 0.239 
-0.451 	 0.363 	 2.037 	 0.317 
0.104 	 0.413 	 3.272 	 0.275 
-1.483 	 0.888 	 1.392 	 0.539 
